\N	park formation	Precambrian|4000.0000|542.0000	Early Tertiary|65.5000|33.9000
\N	colorado shale	Late Tertiary|23.0300|2.5880	Paleocene|66.00000|56.00000
\N	park formation	Paleozoic|541.00000|252.17000	Late Cretaceous|99.6000|65.5000
\N	park formation	Early Eocene|55.8000|48.6000	Pliocene|5.33300|2.58800
\N	park formation	Late Pliocene|3.6000|2.5880	Eocene|56.00000|33.90000
\N	gap volcanic member	Early Tertiary|65.5000|33.9000	Late Cretaceous|99.6000|65.5000
\N	rabbit ears volcanics	Precambrian|4000.0000|542.0000	Early Miocene|23.0300|15.9700
\N	colorado shale	Pleistocene|2.58800|0.01170	Cretaceous|145.00000|66.00000
\N	fourchu group	Canadian|485.40000|468.10000	Hadrynian|850.0000|542.0000
\N	troublesome formation	Early Pliocene|5.3320|3.6000	Mesozoic|252.17000|66.00000
\N	rabbit ears volcanics	Paleocene|66.00000|56.00000	Early Miocene|23.0300|15.9700
\N	colorado shale	Cretaceous|145.00000|66.00000	Pleistocene|2.58800|0.01170
\N	morrison formation	Precambrian|4000.0000|542.0000	Mesozoic|252.17000|66.00000
\N	dakota sandstone	Precambrian|4000.0000|542.0000	Early Cretaceous|145.5000|99.6000
\N	park formation	Late Pliocene|3.6000|2.5880	Paleocene|66.00000|56.00000
\N	park formation	Late Pliocene|3.6000|2.5880	Paleocene|66.00000|56.00000
\N	park formation	Middle Miocene|15.9700|11.6080	Paleocene|66.00000|56.00000
\N	colorado shale	Late Tertiary|23.0300|2.5880	Eocene|56.00000|33.90000
\N	north park formation	Late Miocene|11.6080|5.3320	Early Tertiary|65.5000|33.9000
\N	north park formation	Early Tertiary|65.5000|33.9000	Miocene|23.03000|5.33300
\N	arikaree formation	Leonard|290.10000|268.00000	Miocene|23.03000|5.33300
\N	arikaree formation	Leonard|290.10000|268.00000	Miocene|23.03000|5.33300
\N	north park formation	Late Tertiary|23.0300|2.5880	Late Cretaceous|99.6000|65.5000
\N	rabbit ears volcanics	Pliocene|5.33300|2.58800	Cretaceous|145.00000|66.00000
\N	park formation	Late Cretaceous|99.6000|65.5000	Late Tertiary|23.0300|2.5880
\N	park formation	Precambrian|4000.0000|542.0000	Late Oligocene|28.4000|23.0300
\N	troublesome formation	Triassic|252.17000|201.30000	Precambrian|4000.0000|542.0000
\N	shale sandstone	Cambrian|541.00000|485.40000	Cretaceous|145.00000|66.00000
\N	rabbit ears volcanics	Precambrian|4000.0000|542.0000	Middle Tertiary|33.9000|23.0300
\N	park formation	Paleozoic|541.00000|252.17000	Eocene|56.00000|33.90000
\N	troublesome formation	Paleocene|66.00000|56.00000	Late Pliocene|3.6000|2.5880
\N	troublesome formation	Paleocene|66.00000|56.00000	Late Pliocene|3.6000|2.5880
\N	morrison formation	Permian|298.90000|252.17000	Tertiary|66.00000|2.58800
